"dependiente","tipo_dependiente","explicativa","especificacion","modelo","nobs","r2","r2_ajustado"
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw",417,0.0310895828281071,-0.228861992510694
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re",417,0.175772880371257,0.173786790926368
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool",417,0.291969850354242,0.288549414848707
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe",417,0.439588610549456,0.295676320207171
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw",417,0.0583602493160053,-0.197927022276886
"ALQUILER_MED_M_M2_U","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re",417,0.384575143900775,0.381602076963098
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool",417,0.284123756499634,0.282398753503248
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe",417,0.093061436979389,-0.136404946435464
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",417,0.0189174035433959,-0.244299878432766
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re",417,0.138447290726661,0.136371260101906
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool",417,0.313948985004707,0.310634728893619
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe",417,0.437459271512824,0.293000172052371
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw",417,0.0512794221055886,-0.206935047107264
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re",417,0.382434407846838,0.379450999189093
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool",379,0.0910790523020217,0.0886681214062711
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe",379,0.0880959153181078,-0.152841953209884
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",379,0.00453205785485712,-0.27554875298598
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re",379,0.133879946743546,0.131582546071779
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool",379,0.261876244389678,0.257950054200262
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe",379,0.745501028068909,0.677179156409556
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw",379,0.0584136345063191,-0.210611041349018
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re",379,0.688467650705182,0.686810563740848
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool",379,0.0920881595668406,0.089679905348185
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe",379,0.126308743721768,-0.10453275877315
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw",379,0.00520070805813243,-0.274691974081444
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re",379,0.156154235789006,0.153915918112054
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool",379,0.256264642365806,0.252308603229453
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe",379,0.745917859293684,0.67770788863427
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw",379,0.0581711331335478,-0.210922828828296
"ALQUILER_MED_M_T_INMU_COL","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re",379,0.688697682942206,0.687041819553601
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool",379,0.108436098390449,0.106071207404747
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe",379,0.0743177136280499,-0.170260549326412
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",379,0.00663383930967555,-0.272855622850653
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re",379,0.135012124202822,0.132717726654289
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool",379,0.275147527730443,0.271291929473691
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe",379,0.744694824646677,0.676156522538402
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw",379,0.0592378040764837,-0.209551394758807
"ALQUILER_MED_M_T_INMU_COL","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re",379,0.687697948584502,0.686036767459951
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","pool",417,0.0384365700569667,0.0361195497438509
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe",417,0.109862487787484,-0.115353027350623
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",417,0.023096824201008,-0.238999149793844
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","sin_control","re",417,0.0687136326052372,0.0664695690693463
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","pool",417,0.23805062899476,0.234369714158985
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe",417,0.490909286447472,0.36017602163791
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","fe_tw",417,0.0270964299235833,-0.237699954592628
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_DISPONIBLES_M_PER_MIL","con_control","re",417,0.444362667352053,0.441678429030082
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool",417,0.038260784851163,0.0359433409592381
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe",417,0.141461190056061,-0.0757594727008397
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw",417,0.0225881711352203,-0.23964427075533
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re",417,0.0951311796565535,0.0929507728605451
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool",417,0.232567285879023,0.228859881462979
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe",417,0.490908653324402,0.360175225930366
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw",417,0.0256672888495605,-0.239518066784657
"ALQUILER_MED_M_T_INMU_U","robustez","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re",417,0.443492344940456,0.44080390216239
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool",417,0.0600681330034357,0.0578032369383837
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe",417,0.0843264072462562,-0.147350043932402
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw",417,0.0173192366848129,-0.246326821765603
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re",417,0.0611670380328182,0.0589047899316925
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool",417,0.258302217386824,0.254719136311398
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe",417,0.490778039693427,0.36001107103464
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw",417,0.0217352572062886,-0.244520284410348
"ALQUILER_MED_M_T_INMU_U","robustez","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","re",417,0.442960387204346,0.440269374582145
