"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.00264604270888371,0.00497336969807873,0.532042230825089,0.595093170211856
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",2.3949746317859e-05,1.86493229806453e-05,1.28421532206368,0.200077679334098
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0156011287724087,0.0051109752390345,3.05247590582259,0.00247706081364809
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",4.16482909591364e-05,1.76251481520122e-05,2.36300373761009,0.0186357720230672
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0365758002819591,0.00745271669379598,4.90771376193685,1.37537975016692e-06
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",0.000109317266673939,6.18791269166785e-06,17.6662587403887,2.76425393216676e-51
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0137671615169794,0.00449400568481805,3.06344995590204,0.00234567887597976
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0409418642074845,0.00652922618392782,6.27055382278929,1.25640039529202e-09
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0170619693711897,0.00473869700699532,3.60056136655343,0.00037239415783016
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","pool","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0352330261787105,0.0071433548133363,4.93228001399736,1.22114534852662e-06
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","sin_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0372444151083452,0.00589552880220684,6.31740024650607,7.50235689325129e-10
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",0.000610169311182359,0.00116099067054326,0.525559185498748,0.59954641308228
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",8.41601455000891e-05,6.69258526652213e-06,12.5751323514812,6.53794312296203e-30
"ALQUILER_MED_M_M2_U","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.00183822341650692,0.00129419752678024,1.4203576953822,0.156456319344883
