"dependiente","tipo_dependiente","explicativa_principal","especificacion","modelo","termino","estimacion","error_std","estadistico","p_valor"
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.00264604270888371,0.00497336969807873,0.532042230825089,0.595093170211856
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe","RENTA_NETA_MEDIA_HOGAR",0.000121560797098555,6.0504348469611e-06,20.091249666065,2.33861626442767e-57
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0156011287724087,0.0051109752390345,3.05247590582259,0.00247706081364809
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","fe_tw","RENTA_NETA_MEDIA_HOGAR",2.3949746317859e-05,1.86493229806453e-05,1.28421532206368,0.200077679334098
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","(Intercept)",2.61497854574869,0.223034198612404,11.7245631477937,2.85985227398839e-27
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL",0.0137671615169794,0.00449400568481805,3.06344995590204,0.00234567887597976
"ALQUILER_MED_M_M2_COL","principal","VIVIENDAS_VACACIONALES_RESERVADAS_M_PER_MIL","con_control","re","RENTA_NETA_MEDIA_HOGAR",0.000109317266673939,6.18791269166785e-06,17.6662587403887,2.76425393216676e-51
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool","(Intercept)",5.63177430374127,0.160728936659192,35.038957021677,1.24002014683114e-120
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.00677367425404942,0.00145644766915925,4.65081883646364,4.58177029602296e-06
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe","PLAZAS_DISPONIBLES_M_PER_MIL",0.0082405984664115,0.0017659730070186,4.66632187109343,4.6330624080632e-06
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","fe_tw","PLAZAS_DISPONIBLES_M_PER_MIL",0.00400010855589565,0.00113031230719697,3.53894099040238,0.000466545574775827
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re","(Intercept)",5.55299653131776,0.15519514029175,35.7807372117369,2.84669568427841e-123
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","sin_control","re","PLAZAS_DISPONIBLES_M_PER_MIL",0.00724020862352803,0.00146923666237254,4.92787092028895,1.2473089940328e-06
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","(Intercept)",4.33031256768958,0.61440446722652,7.04798353312277,8.73034841580158e-12
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","PLAZAS_DISPONIBLES_M_PER_MIL",0.00702688071391754,0.0015417757579295,4.55765417102821,7.00461993310548e-06
"ALQUILER_MED_M_M2_COL","principal","PLAZAS_DISPONIBLES_M_PER_MIL","con_control","pool","RENTA_NETA_MEDIA_HOGAR",4.09534745209075e-05,1.78658723348623e-05,2.29227399330474,0.0224416232918132
